date,USD_EUR,USD_RUB,TRY_per_USD,USD_ZAR,TRY_EUR,TRY_RUB,TRY_ZAR
2009-07-13,0.71149,32.12,1.5363,8.1691,2.1592713882134675,0.04783001245330013,0.18806233244788287
2009-07-20,0.70338,31.064,1.4963,7.8021,2.127299610452387,0.04816829770795776,0.1917816997987721
2009-07-27,0.70626,31.217,1.4806,7.8239,2.0963950952906862,0.04742928532530352,0.18924066002888584
2009-08-03,0.69614,31.268,1.47,7.9405,2.1116442094980896,0.04701292055775873,0.18512688117876708
2009-08-10,0.70299,31.971,1.4852,8.0616,2.112690080939985,0.04645459948077946,0.184231418080778
2009-08-17,0.70562,31.929,1.4987,8.0222,2.123947733907769,0.04693851984089699,0.1868190770611553
2009-08-24,0.69881,31.509,1.4961,7.8046,2.1409252872740803,0.04748167190326573,0.19169464162160776
2009-08-31,0.70023,31.776,1.5058,7.7704,2.1504362852205703,0.047387965760322254,0.1937866776485123
2009-09-07,0.68999,31.11,1.4949,7.5674,2.166553138451282,0.04805207328833172,0.19754473134762268
2009-09-14,0.6825,30.581,1.4833,7.4133,2.1733333333333333,0.048503973055164976,0.20008633132343223
2009-09-21,0.67879,30.124,1.484,7.4361,2.1862431679901,0.0492630460762183,0.19956697731337664
2009-09-28,0.68568,30.117,1.4926,7.5355,2.176817174192043,0.04956004914168077,0.1980757746665782
2009-10-05,0.67986,29.766,1.4706,7.452,2.163092401376754,0.049405361822213265,0.1973429951690821
2009-10-12,0.67345,29.463,1.4559,7.3315,2.1618531442571833,0.04941451990632318,0.1985814635477051
2009-10-19,0.66818,29.147,1.463,7.4103,2.189529767427939,0.0501938449926236,0.1974279044033305
2009-10-26,0.67326,29.112,1.4924,7.678,2.216677063838636,0.05126408353943391,0.1943735347746809
2009-11-02,0.67641,29.183,1.4957,7.7376,2.211232832158011,0.05125244148990851,0.1933028329197684
2009-11-09,0.66867,28.769,1.4768,7.4259,2.2085632673815185,0.051333032083145054,0.19887151725716745
2009-11-16,0.67137,28.826,1.4858,7.4809,2.2130866735183283,0.051543745230000694,0.19861246641446884
2009-11-23,0.66658,28.976,1.5048,7.4526,2.25749347415164,0.051932633903920486,0.2019161098140246
2009-11-30,0.66335,29.214,1.4993,7.3432,2.2601944674756917,0.051321284315739034,0.20417529142608126
2009-12-07,0.67737,30.252,1.4987,7.5052,2.2125278651254114,0.0495405262461986,0.19968821617012203
2009-12-14,0.69032,30.416,1.5129,7.487,2.1915923050179624,0.04974026827985271,0.20207025510885535
2009-12-21,0.69784,30.23,1.5225,7.6343,2.1817322022240053,0.05036387694343367,0.1994288932842566
2009-12-28,0.69464,29.998,1.5069,7.429,2.169325118046758,0.05023334888992599,0.2028402207564948
2010-01-04,0.69677,29.854,1.4786,7.3598,2.1220775865780674,0.04952770148053862,0.20090219842930512
2010-01-11,0.69032,29.482,1.4539,7.4049,2.1061246957932553,0.04931483617122312,0.19634296209266838
2010-01-18,0.70442,29.722,1.4694,7.4973,2.0859714374946763,0.04943812664019918,0.19599055660037615
2010-01-25,0.71149,30.275,1.4919,7.5872,2.0968671379780464,0.04927828241123039,0.1966338043019823
2010-02-01,0.72077,30.212,1.4952,7.5543,2.074448159607087,0.04949026876737721,0.1979270084587586
2010-02-08,0.7303,30.309,1.5164,7.7124,2.076406956045461,0.05003134382526642,0.196618432653908
2010-02-15,0.73454,30.107,1.5157,7.6709,2.0634682930813844,0.05034377387318564,0.19759089546207095
2010-02-22,0.73735,30.035,1.5396,7.7428,2.088017901946159,0.0512601964374896,0.19884279588779255
2010-03-01,0.73567,29.866,1.5417,7.5434,2.0956407084698303,0.05162057188776536,0.20437733647957154
2010-03-08,0.7326,29.574,1.5337,7.4064,2.0935025935025937,0.05185974166497599,0.20707766256210847
2010-03-15,0.7311,29.284,1.5248,7.3352,2.0856244015866503,0.052069389427673814,0.20787435925400805
