date,product,min_price,max_price,avg_price,unit,market
2025-04-05,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-04-07,Greyfurt,20.0,33.0,26.5,Kg,antalya
2025-04-07,Limon,25.0,50.0,37.5,Kg,antalya
2025-04-07,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-04-07,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-04-08,Greyfurt,20.0,33.0,26.5,Kg,antalya
2025-04-08,Limon,25.0,50.0,37.5,Kg,antalya
2025-04-08,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-04-08,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-04-09,Greyfurt,20.0,33.0,26.5,Kg,antalya
2025-04-09,Limon,25.0,50.0,37.5,Kg,antalya
2025-04-09,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-04-09,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-04-10,Greyfurt,20.0,33.0,26.5,Kg,antalya
2025-04-10,Limon,25.0,50.0,37.5,Kg,antalya
2025-04-10,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-04-10,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-04-11,Greyfurt,20.0,33.0,26.5,Kg,antalya
2025-04-11,Limon,25.0,50.0,37.5,Kg,antalya
2025-04-11,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-04-11,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-04-12,Greyfurt,20.0,33.0,26.5,Kg,antalya
2025-04-12,Limon,25.0,50.0,37.5,Kg,antalya
2025-04-12,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-04-12,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-04-14,Greyfurt,20.0,33.0,26.5,Kg,antalya
2025-04-14,Limon,25.0,50.0,37.5,Kg,antalya
2025-04-14,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-04-14,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-04-15,Greyfurt,20.0,33.0,26.5,Kg,antalya
2025-04-15,Limon,25.0,50.0,37.5,Kg,antalya
2025-04-15,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-04-15,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-04-16,Greyfurt,20.0,33.0,26.5,Kg,antalya
2025-04-16,Limon,25.0,50.0,37.5,Kg,antalya
2025-04-16,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-04-16,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-04-17,Greyfurt,20.0,35.0,27.5,Kg,antalya
2025-04-17,Limon,25.0,50.0,37.5,Kg,antalya
2025-04-17,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-04-17,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-04-18,Greyfurt,20.0,35.0,27.5,Kg,antalya
2025-04-18,Limon,25.0,50.0,37.5,Kg,antalya
2025-04-18,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-04-18,Portakal (Valencia Pak),20.0,40.0,30.0,Kg,antalya
2025-04-19,Greyfurt,25.0,40.0,32.5,Kg,antalya
2025-04-19,Limon,25.0,55.0,40.0,Kg,antalya
2025-04-19,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-04-19,Portakal (Valencia Pak),30.0,50.0,40.0,Kg,antalya
2025-04-21,Greyfurt,25.0,40.0,32.5,Kg,antalya
2025-04-21,Limon,25.0,55.0,40.0,Kg,antalya
2025-04-21,Portakal (Sıkmalık),15.0,30.0,22.5,Kg,antalya
2025-04-21,Portakal (Valencia Pak),30.0,50.0,40.0,Kg,antalya
